name,score,price,room_type,area,breakfast,img_path
Zhangjiajie Lijing Boutique Hotel-Superior Class-Entrance of Baofeng Lake-English Support-Self-Service Laundry-Expansive Breakfast Buffet,,342元,山景双床间,38 m²,含早餐,F:\Project\基于KNN推荐算法的酒店客房管理系统\spider\imgs\Zhangjiajie Lijing Boutique HotelSuperior ClassEntrance of Baofeng LakeEnglish SupportSelfService LaundryExpansive Breakfast Buffet.jpg
丰荣君华首都机场新国展店,,398元,豪华双床间,28 m²,含早餐,F:\Project\基于KNN推荐算法的酒店客房管理系统\spider\imgs\丰荣君华首都机场新国展店.jpg
桔子酒店（北京天坛东门店）,,588元,高级大床房,20 m²,含早餐,F:\Project\基于KNN推荐算法的酒店客房管理系统\spider\imgs\桔子酒店北京天坛东门店.jpg
夏朗酒店 Xialang Hotel&Free ShuttleBus to Guangzhou BaiyunInternational Airpor,,277元,标准大号床间,25 m²,含早餐,F:\Project\基于KNN推荐算法的酒店客房管理系统\spider\imgs\夏朗酒店 Xialang HotelFree ShuttleBus to Guangzhou BaiyunInternational Airpor.jpg
兴城希尔顿惠庭酒店,,448元,灵动山景双床房,30 m²,含早餐,F:\Project\基于KNN推荐算法的酒店客房管理系统\spider\imgs\兴城希尔顿惠庭酒店.jpg
济南CBD山东港口大厦亚朵S酒店,,427元,高级双床房,27 m²,含早餐,F:\Project\基于KNN推荐算法的酒店客房管理系统\spider\imgs\济南CBD山东港口大厦亚朵S酒店.jpg
城际上海虹桥机场酒店,,424元,城际大床房,26 m²,含早餐,F:\Project\基于KNN推荐算法的酒店客房管理系统\spider\imgs\城际上海虹桥机场酒店.jpg
The Yard Boutique Hotel Shanghai 一隅酒店上海虹桥漕河泾店,,376元,双人间,20 m²,含早餐,F:\Project\基于KNN推荐算法的酒店客房管理系统\spider\imgs\The Yard Boutique Hotel Shanghai 一隅酒店上海虹桥漕河泾店.jpg
桔子水晶上海浦东机场酒店,,349元,双人间,25 m²,含早餐,F:\Project\基于KNN推荐算法的酒店客房管理系统\spider\imgs\桔子水晶上海浦东机场酒店.jpg
云泊夜酒店浦东机场店Yunboye Hotel PVG Airport Disneyland Free Shuttle,,370元,高级特大号床间,30 m²,含早餐,F:\Project\基于KNN推荐算法的酒店客房管理系统\spider\imgs\云泊夜酒店浦东机场店Yunboye Hotel PVG Airport Disneyland Free Shuttle.jpg
Nostalgia S Hotel Kunming D ong feng Square,,219元,温馨智能大床房（零压床垫）,22 m²,不含早餐,F:\Project\基于KNN推荐算法的酒店客房管理系统\spider\imgs\Nostalgia S Hotel Kunming D ong feng Square.jpg
Park Hotel,,283元,双人间 - 带私人浴室,25 m²,不含早餐,F:\Project\基于KNN推荐算法的酒店客房管理系统\spider\imgs\Park Hotel.jpg
西宁火车站智选假日酒店,,339元,高级房,35 m²,含早餐,F:\Project\基于KNN推荐算法的酒店客房管理系统\spider\imgs\西宁火车站智选假日酒店.jpg
上海绿地普陀智选假日酒店,,343元,高级房 超大床 河景,26 m²,含早餐,F:\Project\基于KNN推荐算法的酒店客房管理系统\spider\imgs\上海绿地普陀智选假日酒店.jpg
"Wenzhou City Center All-Day Hotel First Bridge Branch Adjacent to Wuma Street, Zhongshan Park, Jiangxinyu, Gym, Laundry Service, Free Breakfast, Coffee, Afternoon Tea, Daily Necessities, Full Wireless Coverage, Tourist Attractions, Food and Specialty Reco",,290元,特大号床间,26 m²,含早餐,
上海野生动物园荷逸唐酒店-惠南地铁站店,,532元,高级双床间,27 m²,含早餐,F:\Project\基于KNN推荐算法的酒店客房管理系统\spider\imgs\上海野生动物园荷逸唐酒店惠南地铁站店.jpg
上海悦来度假酒店（野生动物园沪南公路店）,,455元,标准客房,25 m²,含早餐,F:\Project\基于KNN推荐算法的酒店客房管理系统\spider\imgs\上海悦来度假酒店野生动物园沪南公路店.jpg
上海溢喜小院,,284元,标准双床房,22 m²,含早餐,F:\Project\基于KNN推荐算法的酒店客房管理系统\spider\imgs\上海溢喜小院.jpg
北京明珠酒店,,410元,双床间,25 m²,不含早餐,F:\Project\基于KNN推荐算法的酒店客房管理系统\spider\imgs\北京明珠酒店.jpg
秋果酒店北京西站六里桥东地铁站店,,295元,优选大床房,20 m²,含早餐,F:\Project\基于KNN推荐算法的酒店客房管理系统\spider\imgs\秋果酒店北京西站六里桥东地铁站店.jpg
Campanile Shanghai Natural History Museum Hotel,,328元,标准大床房,18 m²,不含早餐,F:\Project\基于KNN推荐算法的酒店客房管理系统\spider\imgs\Campanile Shanghai Natural History Museum Hotel.jpg
济南高新希尔顿花园酒店,,325元,花园高级双床房,32 m²,含早餐,F:\Project\基于KNN推荐算法的酒店客房管理系统\spider\imgs\济南高新希尔顿花园酒店.jpg
